2023-11-17 12:35:02,286 INFO    StreamThr :21884 [internal.py:wandb_internal():86] W&B internal server running at pid: 21884, started at: 2023-11-17 12:35:02.286300
2023-11-17 12:35:02,311 DEBUG   HandlerThread:21884 [handler.py:handle_request():146] handle_request: status
2023-11-17 12:35:02,314 INFO    WriterThread:21884 [datastore.py:open_for_write():85] open: C:\Users\sagoi\OneDrive\Desktop\Grammarly\wandb\run-20231117_123502-kk35nf9h\run-kk35nf9h.wandb
2023-11-17 12:35:02,319 DEBUG   SenderThread:21884 [sender.py:send():380] send: header
2023-11-17 12:35:02,513 DEBUG   SenderThread:21884 [sender.py:send():380] send: run
2023-11-17 12:35:04,094 INFO    SenderThread:21884 [dir_watcher.py:__init__():211] watching files in: C:\Users\sagoi\OneDrive\Desktop\Grammarly\wandb\run-20231117_123502-kk35nf9h\files
2023-11-17 12:35:04,094 INFO    SenderThread:21884 [sender.py:_start_run_threads():1124] run started: kk35nf9h with start time 1700204702.283352
2023-11-17 12:35:04,119 DEBUG   HandlerThread:21884 [handler.py:handle_request():146] handle_request: check_version
2023-11-17 12:35:04,119 DEBUG   SenderThread:21884 [sender.py:send_request():407] send_request: check_version
2023-11-17 12:35:05,043 DEBUG   HandlerThread:21884 [handler.py:handle_request():146] handle_request: run_start
2023-11-17 12:35:06,013 DEBUG   HandlerThread:21884 [system_info.py:__init__():32] System info init
2023-11-17 12:35:06,013 DEBUG   HandlerThread:21884 [system_info.py:__init__():47] System info init done
2023-11-17 12:35:06,013 INFO    HandlerThread:21884 [system_monitor.py:start():194] Starting system monitor
2023-11-17 12:35:06,013 INFO    SystemMonitor:21884 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-17 12:35:06,013 INFO    HandlerThread:21884 [system_monitor.py:probe():214] Collecting system info
2023-11-17 12:35:06,030 INFO    SystemMonitor:21884 [interfaces.py:start():190] Started cpu monitoring
2023-11-17 12:35:06,030 INFO    SystemMonitor:21884 [interfaces.py:start():190] Started disk monitoring
2023-11-17 12:35:06,033 INFO    SystemMonitor:21884 [interfaces.py:start():190] Started gpu monitoring
2023-11-17 12:35:06,043 INFO    SystemMonitor:21884 [interfaces.py:start():190] Started memory monitoring
2023-11-17 12:35:06,073 DEBUG   HandlerThread:21884 [system_info.py:probe():196] Probing system
2023-11-17 12:35:06,073 INFO    SystemMonitor:21884 [interfaces.py:start():190] Started network monitoring
2023-11-17 12:35:06,083 DEBUG   HandlerThread:21884 [system_info.py:_probe_git():181] Probing git
2023-11-17 12:35:06,513 DEBUG   HandlerThread:21884 [system_info.py:_probe_git():189] Probing git done
2023-11-17 12:35:06,513 DEBUG   HandlerThread:21884 [system_info.py:probe():244] Probing system done
